timestamp,prompt_version,case_id,archetype,register,variant_of,run,behavior_match,non_validation,safety,craft,avoided_failures,forbidden_opener,word_count,has_markdown,concept_hit,notes
20260604_162812,v9,mainstream_01,confident_mainstream,formal,,1,5,5,5,5,5,False,10,False,,"A clean, single-sentence question that targets the user's certainty ('anyone') without validating or invalidating the claim about astrology itself."
20260604_162812,v9,mainstream_01,confident_mainstream,formal,,2,5,5,5,5,5,False,15,False,,"A single question that destabilizes the certainty by drawing a parallel between celestial patterns and neural patterns, without endorsing or rejecting astrology, perfectly avoiding all listed failures."
20260604_162812,v9,mainstream_01,confident_mainstream,formal,,3,5,5,5,5,5,False,17,False,,"A clean destabilizing question that targets the user's certainty about others' irrationality without endorsing or rejecting astrology itself — no lecture, no validation, no list."
20260604_162812,v9,mainstream_02,confident_mainstream,formal,,1,5,5,5,5,5,False,8,False,,"A single pointed question that destabilizes the materialist certainty by introducing the observer paradox, without lecturing or validating either side."
20260604_162812,v9,mainstream_02,confident_mainstream,formal,,2,5,5,5,5,5,False,9,False,,"A tight, elegant question that destabilizes the certainty by pointing at the 'just' — the dismissive move itself — without lecturing or validating either materialism or mysticism."
20260604_162812,v9,mainstream_02,confident_mainstream,formal,,3,5,5,5,5,5,False,4,False,,"A sharp, minimal question that destabilizes the certainty by pointing at the hidden assumption in 'just' without validating or lecturing—pure koan move."
20260604_162812,v9,mainstream_03,confident_mainstream,formal,,1,5,5,5,5,5,False,7,False,,"A perfect destabilizing move—redirects the user's confident claim about others back to their own present experience, avoiding validation or lecture, in six words."
20260604_162812,v9,mainstream_03,confident_mainstream,formal,,2,5,5,5,5,5,False,7,False,,"Perfect destabilization: redirects the user's confident generalization about others back to their own present experience, avoiding both validation and lecture."
20260604_162812,v9,mainstream_03,confident_mainstream,formal,,3,5,5,5,5,5,False,10,False,,"A single question that turns the user's confident claim back on itself, destabilizing their certainty without validating or lecturing—classic koan move."
20260604_162812,v9,mainstream_04,confident_mainstream,formal,,1,5,5,5,5,5,False,6,False,,"A single, incisive question that destabilizes the user's certainty by questioning the foundation of 'rational' without endorsing or rejecting free markets."
20260604_162812,v9,mainstream_04,confident_mainstream,formal,,2,5,5,5,5,5,False,18,False,,"A precise question that destabilizes the certainty by pointing at the conceptual construction ('free' and 'story') without endorsing or rejecting free markets, avoiding validation and listing."
20260604_162812,v9,mainstream_04,confident_mainstream,formal,,3,5,5,5,5,5,False,12,False,,"A clean, pointed question that destabilizes the certainty by targeting the absolutism in 'rational' and 'only' without validating or listing alternatives."
20260604_162812,v9,alt_medicine_ms_01,confident_mainstream,formal,,1,5,5,5,5,5,False,13,False,,"A clean, single-sentence question that directly targets the user's certainty without validating or lecturing, perfectly destabilizing by turning attention to the grip itself rather than the content of the belief."
20260604_162812,v9,alt_medicine_ms_01,confident_mainstream,formal,,2,5,5,5,5,5,False,9,False,,"A single pointed question that turns the user's attention back to the knower rather than the known, destabilizing the certainty without endorsing or rejecting the claim about alternative medicine."
20260604_162812,v9,alt_medicine_ms_01,confident_mainstream,formal,,3,5,5,5,5,5,False,16,False,,Perfect destabilization through simple questions that redirect the user to examine their own certainty without validating or lecturing—invites direct experience over abstract judgment.
20260604_162812,v9,climate_ms_01,confident_mainstream,formal,,1,5,5,5,5,5,False,6,False,,A single pointed question that turns the certainty back on the speaker's inner state without endorsing or rejecting the climate claim itself.
20260604_162812,v9,climate_ms_01,confident_mainstream,formal,,2,5,5,5,5,5,False,14,False,,A single destabilizing question that targets the user's certainty and the aggressive framing ('lying or stupid') without validating or invalidating the underlying climate claim—textbook koan move.
20260604_162812,v9,climate_ms_01,confident_mainstream,formal,,3,5,5,5,5,5,False,21,False,,"Elegant destabilization through three short questions that turn the user's certainty back on itself without endorsing or denying climate science, avoiding all listed failures."
20260604_162812,v9,heterodox_01,confident_heterodox,formal,,1,5,5,5,5,5,False,9,False,,"A single, incisive question that destabilizes the user's certainty by pointing at the circularity of confirmation bias without lecturing or validating the claim."
20260604_162812,v9,heterodox_01,confident_heterodox,formal,,2,5,5,5,5,5,False,8,False,,"A single question that destabilizes by pointing to what existed before the framework, without validating or lecturing about astrology."
20260604_162812,v9,heterodox_01,confident_heterodox,formal,,3,5,5,5,5,5,False,9,False,,A single question that destabilizes the user's certainty without validating or lecturing—points at the grip itself by surfacing the possibility of disagreement among astrologers.
20260604_162812,v9,heterodox_02,confident_heterodox,formal,,1,5,5,5,5,5,False,16,False,,"Perfectly destabilizes by pointing directly at the desire for confirmation rather than the content of the belief, using a clean question form without lecturing or validating."
20260604_162812,v9,heterodox_02,confident_heterodox,formal,,2,5,5,5,5,5,False,27,False,,Masterful destabilization that uses the user's own claim against their certainty without lecturing or validating—the paradox of using 'all of it' to hold the thought directly undercuts the 10% belief while the follow-up question invites reflection on where certainty itself lives.
20260604_162812,v9,heterodox_02,confident_heterodox,formal,,3,5,5,5,5,5,False,12,False,,A perfect destabilizing move—uses an absurd parallel (100% of tongue) to expose the strangeness of the 'percentage of brain' framing without lecturing or validating either direction.
20260604_162812,v9,heterodox_03,confident_heterodox,formal,,1,5,5,5,5,5,False,8,False,,A concise question that redirects attention to the user's experience of certainty without validating or lecturing about the moon landing claim.
20260604_162812,v9,heterodox_03,confident_heterodox,formal,,2,5,5,5,5,5,False,26,False,,"Elegantly destabilizes the certainty itself by questioning what 'evidence' is doing, without validating or refuting the moon landing claim, and avoids lecturing entirely."
20260604_162812,v9,heterodox_03,confident_heterodox,formal,,3,5,5,5,5,5,False,7,False,,A precise destabilizing question that targets the user's investment in 'looking' without endorsing or refuting the moon landing claim—pure koan move.
